Age,Gender,Location,Monthly_Income,Education_Level,Platforms_Used,Influencer_Follow_Frequency,Influencer_Type,Product_Discovery_Mode,Num_Influencer_Purchases,Trust_Score,Influencer_Product_Categories,Purchase_Motivators,Purchase_Concerns,Try_New_Brand_Likelihood,Avg_Monthly_Influencer_Spend,Willingness_to_Spend_on_New,Buy_Now_Link_Likelihood,Prefer_Brand_Transparency,ROI_Transparency_Importance,Biggest_Purchase_Factor,Best_Value_Influencer_Tier,Engagement_with_Influencer_Content,Feels_Oversaturated,Suggestions_Concerns
31,Male,London,49800,Graduate,"TikTok, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,5,"Home & Living, Others","Discounts or offers, Positive product reviews",Return policies,2,966,914,5,Yes,2,Trust,Micro-influencers,Often,Yes,Better product reviews
25,Other,New York,9600,Graduate,"Twitter, YouTube, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,3,2,"Fashion, Others",Discounts or offers,Price,3,3973,4413,2,Yes,1,Price,Macro-influencers,Sometimes,Yes,Highlight local brands
29,Male,Other,16100,Graduate,"Facebook, Instagram",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Other,4,5,Others,"Brand reputation, Quality of content, Discounts or offers","Return policies, Delivery issues",2,1699,1578,1,Yes,5,Product quality,Mid-tier influencers,Often,No,No suggestions
33,Male,Dubai,13100,Postgraduate,"YouTube, Others, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Other,0,3,Home & Living,Brand reputation,Price,1,4501,5532,2,Yes,4,Product quality,Mid-tier influencers,Often,No,Collaborate with trusted influencers
30,Female,Mumbai,25300,Graduate,"TikTok, Instagram, Others",Often,Mega-influencers (Over 1 million followers),Advertisements,2,3,"Others, Beauty",Quality of content,Delivery issues,3,2998,3492,5,Yes,4,Trust,Macro-influencers,Sometimes,No,Collaborate with trusted influencers
22,Male,Sydney,54700,Postgraduate,"Facebook, Instagram",Always,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,3,3,"Others, Food & Beverages",Peer influence,"Product quality concerns, Delivery issues",3,4987,4088,4,Yes,4,Price,Mega-influencers,Sometimes,Yes,Need more transparency
27,Male,Dubai,10900,Postgraduate,"Facebook, Others, Instagram",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,3,5,Technology,"Quality of content, Brand reputation, Positive product reviews","Authenticity of product, Delivery issues",5,610,817,2,No,3,Trust,Mega-influencers,Often,Yes,Need more transparency
38,Female,Mumbai,13000,Graduate,"Instagram, Facebook",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,3,"Beauty, Technology",Quality of content,"Delivery issues, Product quality concerns",2,2548,3872,3,No,3,Trust,Mid-tier influencers,Often,No,Need more transparency
36,Female,New York,27600,Graduate,"Facebook, Others, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Online search,2,5,"Fashion, Food & Beverages",Peer influence,Product quality concerns,4,6109,8214,4,Yes,4,Price,Micro-influencers,Sometimes,Yes,Need more transparency
32,Female,London,7700,Postgraduate,"Facebook, TikTok",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,4,Beauty,"Quality of content, Brand reputation, Positive product reviews","Price, Product quality concerns",4,3006,3416,3,Yes,2,Price,Mega-influencers,Sometimes,No,Lower prices
31,Female,Dubai,10600,Graduate,"Instagram, Others",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,0,3,Home & Living,"Quality of content, Peer influence",Authenticity of product,4,1796,2864,5,Yes,4,Trust,Micro-influencers,Sometimes,Yes,Better product reviews
22,Female,Other,10700,Postgraduate,"TikTok, Instagram",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,0,3,Home & Living,"Brand reputation, Quality of content, Peer influence","Authenticity of product, Product quality concerns",3,2014,3202,4,Yes,3,Trust,Mid-tier influencers,Sometimes,No,Better product reviews
31,Female,Mumbai,15100,Postgraduate,"Instagram, Facebook",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,3,4,"Fitness, Food & Beverages","Quality of content, Peer influence, Brand reputation","Delivery issues, Product quality concerns",3,4909,5237,3,No,4,Price,Micro-influencers,Often,Yes,Highlight local brands
16,Male,Sydney,15500,Graduate,"Instagram, TikTok",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,5,Food & Beverages,"Quality of content, Peer influence, Brand reputation",Delivery issues,2,1483,1696,2,Yes,1,Price,Micro-influencers,Sometimes,Yes,Highlight local brands
22,Female,New York,15400,High School,"Facebook, Instagram, Others",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,4,2,Technology,Peer influence,"Return policies, Delivery issues",1,1070,950,3,Yes,3,Price,Macro-influencers,Often,Yes,Improve product quality
28,Female,Dubai,225371,Graduate,"Instagram, YouTube, TikTok, Others, Facebook, Twitter",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,1,"Food & Beverages, Others",Quality of content,Delivery issues,4,4322,3655,3,Yes,5,Price,Micro-influencers,Often,No,Improve product quality
19,Male,Mumbai,18900,Postgraduate,"Twitter, Instagram, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,32,4,Home & Living,"Peer influence, Positive product reviews",Delivery issues,4,906,1534,4,Yes,4,Product quality,Micro-influencers,Always,No,Need more transparency
18,Male,Berlin,18800,Graduate,"Facebook, Instagram, TikTok",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,3,Others,Brand reputation,Authenticity of product,3,2543,3863,1,No,5,Price,Mega-influencers,Sometimes,No,Improve product quality
27,Male,Other,27000,Postgraduate,"TikTok, Others, Facebook",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,4,"Fashion, Food & Beverages","Discounts or offers, Brand reputation, Peer influence",Delivery issues,4,2751,2348,4,No,4,Convenience,Micro-influencers,Sometimes,Yes,Improve product quality
31,Female,Sydney,9800,Postgraduate,"Facebook, Twitter",Sometimes,Mega-influencers (Over 1 million followers),Recommendations from friends/family,2,5,"Food & Beverages, Fashion","Positive product reviews, Peer influence",Price,3,4333,5934,1,Yes,4,Trust,Mid-tier influencers,Never,Yes,Improve product quality
41,Female,Sydney,6100,Graduate,"YouTube, Twitter",Often,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,5,4,Fitness,Positive product reviews,Delivery issues,3,547,782,3,Yes,4,Trust,Mega-influencers,Often,Yes,Need more transparency
20,Male,Other,20300,Postgraduate,"Twitter, Facebook, Instagram",Often,"Macro-influencers (100,000 to 1 million followers)",Online search,2,1,Technology,"Brand reputation, Quality of content, Discounts or offers",Authenticity of product,4,728,729,1,Yes,1,Trust,Micro-influencers,Sometimes,No,Lower prices
32,Male,London,13300,Graduate,"Others, Instagram, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,4,"Technology, Fitness","Positive product reviews, Quality of content, Discounts or offers","Authenticity of product, Delivery issues",4,4452,4345,4,No,3,Product quality,Micro-influencers,Sometimes,Yes,No suggestions
22,Female,Berlin,8400,Postgraduate,"Twitter, Others",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,3,Home & Living,Peer influence,"Price, Return policies",3,6317,6692,2,Yes,4,Trust,Macro-influencers,Sometimes,No,Collaborate with trusted influencers
17,Female,Sydney,14600,Graduate,"TikTok, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,5,Beauty,"Peer influence, Discounts or offers","Product quality concerns, Return policies",3,2101,2010,5,No,3,Trust,Micro-influencers,Rarely,Yes,Improve product quality
25,Male,London,9400,Other,"TikTok, Others, Facebook",Often,"Macro-influencers (100,000 to 1 million followers)",Advertisements,1,1,"Home & Living, Technology",Brand reputation,"Return policies, Delivery issues",4,3038,2967,3,Yes,2,Product quality,Macro-influencers,Sometimes,No,Need more transparency
16,Prefer not to say,Berlin,23400,Graduate,"Facebook, Others, Twitter",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,2,4,Technology,"Peer influence, Discounts or offers, Brand reputation",Product quality concerns,4,5517,7254,4,Yes,3,Product quality,Mid-tier influencers,Sometimes,Yes,Lower prices
24,Male,New York,11000,Graduate,"Others, YouTube, Instagram",Often,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,0,4,"Beauty, Others","Positive product reviews, Brand reputation, Quality of content","Price, Delivery issues",3,2923,3460,3,Yes,4,Product quality,Macro-influencers,Sometimes,No,Better product reviews
16,Female,Other,10200,Postgraduate,"TikTok, Facebook",Rarely,Mega-influencers (Over 1 million followers),Recommendations from friends/family,2,5,Technology,"Positive product reviews, Brand reputation","Price, Delivery issues",3,466,540,4,Yes,4,Product quality,Mid-tier influencers,Often,No,Collaborate with trusted influencers
28,Female,New York,28600,Postgraduate,"Instagram, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,4,4,"Beauty, Fashion",Quality of content,"Product quality concerns, Return policies",4,3211,4483,3,No,2,Product quality,Micro-influencers,Sometimes,Yes,Better product reviews
16,Male,London,16000,Other,"YouTube, TikTok",Often,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,2,5,Others,"Peer influence, Brand reputation",Product quality concerns,1,839,708,5,Yes,5,Trust,Micro-influencers,Sometimes,Yes,Collaborate with trusted influencers
35,Female,Sydney,17300,Graduate,"Instagram, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,1,Fitness,"Discounts or offers, Peer influence, Positive product reviews",Return policies,3,7152,10600,3,Yes,2,Convenience,Mid-tier influencers,Always,No,Lower prices
28,Female,Berlin,9900,Postgraduate,"YouTube, Facebook, Instagram",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,4,3,"Others, Food & Beverages","Peer influence, Quality of content, Discounts or offers",Return policies,4,2053,2202,5,Yes,3,Convenience,Micro-influencers,Sometimes,Yes,Better product reviews
28,Female,Berlin,20700,Graduate,"Twitter, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,3,2,Fashion,"Positive product reviews, Brand reputation","Delivery issues, Price",2,828,1205,5,No,5,Trust,Micro-influencers,Often,No,Lower prices
26,Female,Sydney,7300,Postgraduate,"Facebook, Others, Twitter",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,2,4,Home & Living,"Brand reputation, Discounts or offers",Product quality concerns,2,6615,6674,4,Yes,5,Price,Micro-influencers,Sometimes,Yes,Better product reviews
66,Male,London,14700,Graduate,"Twitter, YouTube, Instagram",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,5,"Fitness, Fashion",Brand reputation,"Authenticity of product, Price",3,1176,1092,4,Yes,3,Product quality,Micro-influencers,Sometimes,Yes,Limit sponsored content
35,Male,Mumbai,27200,Postgraduate,"Twitter, Facebook, Others",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,4,4,Fitness,Quality of content,Delivery issues,3,1614,1410,4,Yes,5,Trust,Macro-influencers,Often,Yes,Limit sponsored content
31,Male,New York,12200,High School,"Twitter, YouTube",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,7,3,Technology,Discounts or offers,Return policies,3,2524,4090,3,Yes,2,Product quality,Macro-influencers,Always,Yes,No suggestions
30,Male,London,12000,Postgraduate,"TikTok, Instagram, Others",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,1,3,"Technology, Fashion","Discounts or offers, Brand reputation, Positive product reviews","Product quality concerns, Authenticity of product",5,997,956,3,No,4,Trust,Mid-tier influencers,Always,No,Limit sponsored content
20,Male,New York,14500,Postgraduate,"Others, Facebook, YouTube",Never,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,5,Technology,"Brand reputation, Positive product reviews","Delivery issues, Authenticity of product",5,1451,2209,4,Yes,4,Trust,Micro-influencers,Often,No,Better product reviews
32,Female,London,14900,Postgraduate,"Others, YouTube, Instagram",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,2,5,"Food & Beverages, Fitness","Peer influence, Positive product reviews","Return policies, Price",4,5262,8280,2,Yes,2,Other,Mid-tier influencers,Sometimes,Yes,Limit sponsored content
37,Male,Sydney,19200,High School,"TikTok, YouTube",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,5,"Home & Living, Technology","Brand reputation, Peer influence, Positive product reviews","Authenticity of product, Delivery issues",4,334,505,4,No,5,Trust,Mid-tier influencers,Often,Yes,Highlight local brands
32,Male,Other,13600,High School,"Twitter, YouTube, Instagram",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,3,4,Home & Living,Discounts or offers,Return policies,4,3678,3315,2,Yes,5,Product quality,Micro-influencers,Sometimes,Yes,Highlight local brands
25,Male,Dubai,23400,Graduate,"TikTok, Instagram",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,5,Food & Beverages,"Positive product reviews, Peer influence",Price,3,4145,4244,5,No,4,Price,Micro-influencers,Rarely,Yes,Collaborate with trusted influencers
38,Other,New York,13600,Other,"Facebook, YouTube, TikTok",Often,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,5,"Beauty, Home & Living",Quality of content,"Price, Return policies, Authenticity of product, Delivery issues",4,2731,3062,2,Yes,4,Trust,Mega-influencers,Sometimes,No,Collaborate with trusted influencers
28,Male,Berlin,16800,Postgraduate,"Twitter, Instagram, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,2,3,Food & Beverages,Peer influence,Delivery issues,5,12405,20895,1,Yes,5,Product quality,Micro-influencers,Often,Yes,Better product reviews
44,Female,Dubai,13400,Graduate,"Instagram, TikTok, Others",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,1,3,Technology,"Quality of content, Discounts or offers",Price,3,931,1459,5,Yes,5,Price,Micro-influencers,Sometimes,No,Need more transparency
22,Male,Sydney,17900,High School,"TikTok, Facebook, YouTube",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,5,Others,"Peer influence, Positive product reviews, Quality of content","Product quality concerns, Authenticity of product",2,971,1049,1,Yes,3,Price,Mid-tier influencers,Always,Yes,Collaborate with trusted influencers
24,Female,New York,20600,Graduate,"Twitter, Facebook, Instagram",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,1,4,"Beauty, Home & Living",Quality of content,Return policies,3,1763,1577,4,Yes,4,Convenience,Micro-influencers,Often,Yes,No suggestions
32,Male,Dubai,62100,Graduate,"Instagram, Twitter, YouTube",Rarely,"Micro-influencers (1,000 to 10,000 followers)",Other,0,5,"Fashion, Home & Living","Quality of content, Positive product reviews, Discounts or offers","Authenticity of product, Delivery issues",1,2921,4236,4,Yes,3,Price,Micro-influencers,Sometimes,Yes,Improve product quality
33,Male,Sydney,8900,Graduate,"TikTok, Facebook, YouTube",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,2,4,Technology,"Quality of content, Positive product reviews, Brand reputation, Peer influence, Discounts or offers",Delivery issues,2,2289,3311,4,No,5,Trust,Micro-influencers,Always,No,Highlight local brands
27,Female,Sydney,11700,Postgraduate,"Twitter, Facebook, TikTok",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,5,3,Beauty,"Positive product reviews, Discounts or offers, Quality of content",Delivery issues,1,1528,2407,4,No,1,Convenience,Mid-tier influencers,Sometimes,Yes,No suggestions
26,Male,Berlin,31100,Graduate,"YouTube, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,0,3,Others,"Brand reputation, Positive product reviews","Delivery issues, Price",3,3997,6386,5,Yes,3,Trust,Macro-influencers,Sometimes,No,Highlight local brands
35,Female,Mumbai,12700,Postgraduate,"Twitter, Instagram",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,4,Technology,"Quality of content, Brand reputation, Positive product reviews","Authenticity of product, Price",3,4775,4343,4,Yes,5,Product quality,Micro-influencers,Rarely,No,Limit sponsored content
18,Female,Sydney,15900,Graduate,"Instagram, TikTok, Others",Always,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,4,Fitness,"Positive product reviews, Peer influence","Return policies, Price",1,2823,4741,3,Yes,2,Convenience,Macro-influencers,Always,No,No suggestions
32,Male,Sydney,21800,Postgraduate,"TikTok, Twitter, YouTube",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,1,4,Others,"Peer influence, Quality of content","Authenticity of product, Product quality concerns",3,1535,2394,3,Yes,4,Price,Micro-influencers,Rarely,Yes,Limit sponsored content
29,Female,London,18300,Graduate,"Twitter, YouTube",Always,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,3,Beauty,Brand reputation,Return policies,3,4774,6989,3,Yes,3,Convenience,Micro-influencers,Sometimes,No,No suggestions
26,Female,Sydney,8400,Graduate,"Facebook, TikTok, Twitter",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Online search,2,4,Fashion,"Positive product reviews, Peer influence","Price, Return policies",4,1536,2361,4,No,5,Trust,Micro-influencers,Rarely,Yes,Need more transparency
26,Male,New York,16300,Postgraduate,"TikTok, Instagram",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,4,5,Others,"Quality of content, Discounts or offers","Authenticity of product, Price",4,2016,2687,4,Yes,4,Price,Micro-influencers,Often,No,Highlight local brands
21,Female,Dubai,19900,Graduate,"Twitter, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,4,3,"Beauty, Food & Beverages",Brand reputation,"Product quality concerns, Authenticity of product",4,2025,1835,2,Yes,5,Convenience,Macro-influencers,Often,Yes,Better product reviews
37,Female,Other,11700,Other,"Facebook, TikTok, Others",Always,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,0,2,"Fashion, Beauty",Quality of content,Product quality concerns,4,1856,3104,2,Yes,4,Convenience,Macro-influencers,Always,Yes,Better product reviews
34,Male,London,24900,Graduate,"Instagram, Facebook",Often,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,3,4,Food & Beverages,"Quality of content, Positive product reviews",Product quality concerns,4,1799,2261,3,No,4,Product quality,Mid-tier influencers,Sometimes,No,Highlight local brands
24,Male,Sydney,47100,Graduate,"TikTok, Others",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,4,5,Fashion,Brand reputation,"Product quality concerns, Return policies",1,474,605,3,Yes,2,Price,Mid-tier influencers,Sometimes,No,Collaborate with trusted influencers
33,Male,Dubai,19200,Postgraduate,"Instagram, Twitter",Rarely,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,3,"Home & Living, Fashion","Brand reputation, Discounts or offers",Product quality concerns,1,727,1121,3,Yes,5,Trust,Mega-influencers,Rarely,Yes,Improve product quality
31,Male,Other,37300,Postgraduate,"YouTube, TikTok, Instagram",Always,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,1,Fashion,"Peer influence, Brand reputation, Positive product reviews","Price, Product quality concerns",4,1521,2493,3,Yes,3,Trust,Micro-influencers,Often,No,Highlight local brands
33,Female,New York,51300,Graduate,"YouTube, Facebook, Instagram",Often,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,1,4,"Fashion, Home & Living","Positive product reviews, Quality of content, Peer influence","Product quality concerns, Authenticity of product",5,2945,3358,3,Yes,4,Convenience,Micro-influencers,Often,Yes,Improve product quality
16,Male,Other,18900,High School,"Instagram, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,0,5,"Home & Living, Others",Brand reputation,Price,2,4355,3825,5,Yes,5,Convenience,Mid-tier influencers,Rarely,No,Highlight local brands
29,Female,Sydney,7200,Postgraduate,"Twitter, TikTok, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,33,4,Fitness,Quality of content,"Authenticity of product, Delivery issues",4,765,1249,4,Yes,5,Convenience,Micro-influencers,Sometimes,Yes,Collaborate with trusted influencers
27,Male,Berlin,20400,Graduate,"Facebook, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,3,"Beauty, Food & Beverages","Peer influence, Brand reputation, Positive product reviews",Return policies,3,5476,5200,2,Yes,3,Price,Micro-influencers,Sometimes,Yes,No suggestions
44,Male,Mumbai,12900,Postgraduate,"TikTok, YouTube",Never,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,3,"Beauty, Food & Beverages",Brand reputation,Authenticity of product,2,2650,3544,4,Yes,3,Price,Macro-influencers,Often,No,Lower prices
27,Female,Berlin,13000,Graduate,"TikTok, Others",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,1,Fitness,"Discounts or offers, Brand reputation, Positive product reviews","Delivery issues, Product quality concerns",3,1786,2974,5,Yes,2,Product quality,Mega-influencers,Often,Yes,Better product reviews
33,Male,Other,11000,Postgraduate,"Twitter, Facebook, Instagram",Never,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,3,Technology,"Peer influence, Quality of content",Authenticity of product,4,5379,5958,5,Yes,3,Other,Macro-influencers,Always,Yes,Collaborate with trusted influencers
30,Female,Dubai,26100,Postgraduate,"Instagram, Others",Always,Mega-influencers (Over 1 million followers),Through influencer content,1,4,"Fitness, Others",Discounts or offers,"Return policies, Delivery issues",4,5028,7846,4,Yes,4,Trust,Mid-tier influencers,Often,Yes,Better product reviews
32,Male,New York,11100,Graduate,"Facebook, Twitter, Instagram",Always,Mega-influencers (Over 1 million followers),Recommendations from friends/family,1,4,"Fitness, Beauty","Brand reputation, Positive product reviews","Return policies, Price",1,1056,1021,1,No,4,Convenience,Micro-influencers,Often,No,Lower prices
37,Prefer not to say,Sydney,17000,Postgraduate,"Facebook, TikTok, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,5,2,"Fitness, Food & Beverages","Positive product reviews, Peer influence, Discounts or offers","Delivery issues, Return policies, Authenticity of product, Price, Product quality concerns",2,1359,1217,3,Yes,4,Product quality,Mid-tier influencers,Often,Yes,Collaborate with trusted influencers
27,Female,Dubai,4500,Graduate,"Twitter, TikTok, Others",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Other,3,5,"Fitness, Fashion","Positive product reviews, Quality of content",Price,3,2094,2150,1,Yes,1,Price,Micro-influencers,Sometimes,Yes,Highlight local brands
34,Female,London,8700,Graduate,"YouTube, Facebook, Others",Always,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,25,5,"Technology, Fashion","Quality of content, Brand reputation","Price, Product quality concerns",5,1781,1813,5,Yes,3,Trust,Micro-influencers,Sometimes,Yes,No suggestions
34,Female,New York,18500,Graduate,"Others, Twitter, Facebook",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,4,"Technology, Fitness","Quality of content, Brand reputation, Discounts or offers",Product quality concerns,1,2750,4105,4,No,5,Price,Macro-influencers,Rarely,Yes,Better product reviews
28,Prefer not to say,Berlin,17800,Postgraduate,"Twitter, Instagram, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,2,4,Technology,"Discounts or offers, Brand reputation","Authenticity of product, Product quality concerns",5,3365,5162,3,Yes,4,Other,Micro-influencers,Sometimes,No,Need more transparency
16,Female,Sydney,31100,Graduate,"Facebook, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,6,1,"Food & Beverages, Technology","Peer influence, Positive product reviews, Quality of content",Authenticity of product,2,5038,7552,2,Yes,3,Price,Micro-influencers,Often,No,Highlight local brands
25,Female,London,17500,Postgraduate,"Instagram, Twitter, Facebook",Sometimes,Mega-influencers (Over 1 million followers),Through influencer content,3,3,Fitness,Positive product reviews,Delivery issues,4,3370,3291,2,Yes,1,Product quality,Mid-tier influencers,Often,Yes,Limit sponsored content
32,Female,Berlin,5700,Graduate,"Others, Facebook, Instagram",Always,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,2,Others,"Peer influence, Brand reputation",Product quality concerns,2,2396,3922,3,No,3,Product quality,Micro-influencers,Rarely,No,Lower prices
16,Female,Dubai,16100,Graduate,"Instagram, Twitter",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,5,Fashion,"Positive product reviews, Discounts or offers, Quality of content","Return policies, Delivery issues",2,2965,4259,2,Yes,5,Trust,Mega-influencers,Sometimes,Yes,Improve product quality
31,Female,Berlin,17000,High School,"Others, Instagram, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Other,2,2,Fitness,"Discounts or offers, Positive product reviews","Authenticity of product, Product quality concerns",4,2311,2531,5,Yes,2,Convenience,Macro-influencers,Sometimes,Yes,Collaborate with trusted influencers
24,Male,Other,14500,Graduate,"Twitter, Others, TikTok",Always,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,8,5,Others,Quality of content,"Authenticity of product, Price",1,715,1090,5,Yes,5,Trust,Mega-influencers,Never,No,Need more transparency
41,Male,London,9900,Postgraduate,"YouTube, Others, Facebook",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,3,3,"Fashion, Technology","Positive product reviews, Discounts or offers","Delivery issues, Return policies",4,3116,5080,3,Yes,4,Price,Mid-tier influencers,Rarely,No,Improve product quality
16,Female,Dubai,14800,Graduate,"Instagram, Others, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Online search,2,3,"Technology, Home & Living","Brand reputation, Discounts or offers",Return policies,4,41425,34666,4,Yes,3,Trust,Mid-tier influencers,Often,Yes,Highlight local brands
28,Female,Berlin,11400,Postgraduate,"Twitter, Instagram, YouTube",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,33,5,Food & Beverages,"Discounts or offers, Quality of content","Price, Product quality concerns",1,2028,2054,3,No,2,Price,Micro-influencers,Sometimes,Yes,Better product reviews
31,Male,Other,3700,Graduate,"Twitter, YouTube, Others, Instagram, Facebook, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,5,"Food & Beverages, Home & Living",Discounts or offers,"Price, Product quality concerns",4,1334,1673,2,Yes,4,Product quality,Macro-influencers,Often,Yes,Lower prices
32,Female,London,8900,Postgraduate,"Instagram, Others, Twitter",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,2,Others,"Peer influence, Quality of content",Authenticity of product,4,4435,5231,3,Yes,4,Price,Mid-tier influencers,Sometimes,Yes,Need more transparency
26,Male,Berlin,14200,Graduate,"Instagram, Twitter, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Other,0,2,Fashion,"Peer influence, Brand reputation","Delivery issues, Price",4,631,713,1,Yes,4,Other,Mid-tier influencers,Often,Yes,Better product reviews
65,Male,Sydney,16100,Graduate,"TikTok, YouTube",Often,Mega-influencers (Over 1 million followers),Online search,4,1,Fitness,Positive product reviews,"Authenticity of product, Return policies",4,4493,4767,3,Yes,2,Other,Mid-tier influencers,Sometimes,No,Lower prices
28,Female,Dubai,10600,High School,"Instagram, Twitter, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,4,Technology,"Brand reputation, Quality of content",Price,3,631,685,3,Yes,5,Trust,Mid-tier influencers,Often,Yes,Limit sponsored content
29,Female,Mumbai,15300,Graduate,"YouTube, Others, TikTok",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,3,"Fashion, Beauty","Discounts or offers, Quality of content, Brand reputation","Delivery issues, Authenticity of product",5,2394,3769,5,Yes,4,Trust,Mid-tier influencers,Sometimes,No,Collaborate with trusted influencers
